"ID";"指示符";"软件包";"数量";"名称";"供应商和参考";
1;"C4,C3";"C_1206_3216Metric";2;"22uF";;;
2;"R7,R5,R6";"0603_R";3;"1k";;;
3;"J1,J3";"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal";2;"USB_B_Micro";;;
4;"R2";"0603_R";1;"100";;;
5;"L1";"75_75_4";1;"22uH";;;
6;"Q1";"SOT-23-6";1;"FS8205";;;
7;"R4";"0603_R";1;"7.5k";;;
8;"D1";"SS34_mdd";1;"SS34_mdd";;;
9;"IC1";"SOT-23-6";1;"FS312F-G";;;
10;"SW1";"SW_500SSP3S1M6QEA";1;"SW_DIP_x01";;;
11;"U2";"SOT-23-6";1;"MT3608";;;
12;"C1";"0603_R";1;"0.1u";;;
13;"U1";"SOP-8_EP_150MIL";1;"TP4056_[C16581]";;;
14;"D2";"0603_LED_S1";1;"LED_R";;;
15;"R1,R3";"0603_R";2;"2k";;;
16;"D3";"0603_LED_S1";1;"LED_G";;;
17;"J2";"PinHeader_1x02_P1.00mm_Vertical";1;"Conn_01x02_Female";;;
18;"C2";"0603_R";1;"10u";;;
